0,1
We are approving an amount of  Rs3800000 as a one-off sales support for the month(s) of  May'25.,
May'25 SuperCoins Split,
,Bifurcation of Total
Supplier,Support
GLOBAL_MARKETING_DEL,760000
"Ganesh Enterprises, Bangalore",570000
"FHPL_MamyPoko, Mumbai",190000
JoyGuru Trading House (Will be raised for FHPL),1140000
"FHPL,Bangalore",1140000
