0,1
Supplier,"Bifurcation of Total
Support"
GLOBAL_MARKETING_DEL,760000
"Ganesh Enterprises, Bangalore",570000
"FHPL_MamyPoko, Mumbai",190000
JoyGuru Trading House (Will be raised for FHPL),1140000
"FHPL,Bangalore",1140000
Grand Total,3800000
