,Pareto,Non Pareto
Buy Share (in value),65%,35%
Trade margin (on inv),35% NOT,35% NOT
"TOD at 150 cr net sales
Paid Out in Jan’26 (on net sales) rtv
adjusted",3%,3%
Marketing (on net sales) rtv adjusted,25%,31%
Stock Correction,0%,15%
