Brand Account + Aligned Distributors (Shoes),,,Input Disc%,
Period,CODB Configuration,Remark,Men’s,Women’s
BAU,1% Comm,No FF Waiver,26%,23%
Event,1% Comm + 27 rs FF,FF Waiver,33%,30%
Marketing,6% of gmv (*less cancellations),,,
