0,1
We are approving an amount of  Rs 3000000 as a one-off sales support for the month(s) of  June'25.,
June'25 SuperCoins Split,
Supplier,Bifurcation of Total Support
GLOBAL_MARKETING_DEL,300000
"Ganesh Enterprises, Bangalore",300000
"FHPL_MamyPoko, Mumbai",150000
JoyGuru Trading House,900000
"FHPL,Bangalore",1350000
Grand Total,3000000
