0,1
Supplier,Bifurcation of Total Support
GLOBAL_MARKETING_DEL,3678415
"Ganesh Enterprises, Bangalore",4203903
"FHPL_MamyPoko, Mumbai",2101951
JoyGuru Trading House,6831342
"FHPL,Bangalore",2627439
"FHPL, Hyderabad (Raise to Matrix)",2627439
"Swati Enterprises, Chennai",1576464
"Agarwal Distributor, Lucknow",1839208
"Durai and Co, Coimbatore",788232
Grand Total,26274393
