Supplier,Bifurcation of Total Support
GLOBAL_MARKETING_DEL,300000
"Ganesh Enterprises, Bangalore",300000
"FHPL_MamyPoko, Mumbai",150000
JoyGuru Trading House,900000
"FHPL,Bangalore",1350000
Grand Total,3000000
